CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
CUST0001,Male,56.0,4.0,0.0,4.0,0.0,0.0,40282.42,1.0
CUST0002,,28.0,8.0,67408.01,4.0,0.0,1.0,27333.51,0.0
CUST0003,Female,47.0,6.0,1154.97,1.0,0.0,1.0,99514.91,1.0
CUST0004,Male,42.0,1.0,0.0,2.0,1.0,1.0,146588.22,0.0
CUST0005,Male,64.0,3.0,77109.94,4.0,0.0,0.0,131792.25,0.0
CUST0006,Male,26.0,7.0,0.0,4.0,1.0,1.0,70104.15,1.0
CUST0007,Male,19.0,4.0,48964.07,3.0,1.0,0.0,128315.34,1.0
CUST0008,Male,34.0,4.0,37264.98,2.0,1.0,1.0,47032.42,0.0
CUST0009,Female,46.0,2.0,155251.43,2.0,1.0,1.0,97727.0,0.0
CUST0010,Male,25.0,7.0,104646.02,4.0,0.0,1.0,117151.61,0.0
CUST0011,FEMALE,41.0,10.0,193085.81,4.0,0.0,0.0,58515.56,1.0
CUST0012,Male,42.0,7.0,0.0,4.0,1.0,1.0,21830.38,1.0
CUST0013,Male,25.0,3.0,0.0,1.0,1.0,0.0,104640.01,0.0
CUST0014,Male,26.0,8.0,0.0,4.0,0.0,0.0,106949.36,1.0
CUST0015,Male,-5.0,8.0,0.0,1.0,0.0,0.0,146322.57,1.0
CUST0016,Male,22.0,10.0,47961.0,3.0,0.0,0.0,112386.18,1.0
CUST0017,Female,30.0,3.0,0.0,1.0,1.0,0.0,86114.19,0.0
CUST0018,Male,40.0,7.0,0.0,1.0,1.0,0.0,30007.39,1.0
CUST0019,Female,39.0,2.0,125246.46,1.0,0.0,1.0,79349.49,0.0
CUST0020,Female,37.0,10.0,0.0,3.0,1.0,0.0,55377.19,1.0
CUST0021,Male,69.0,9.0,61651.47,4.0,0.0,0.0,83027.9,0.0
CUST0022,Male,59.0,8.0,188639.03,4.0,1.0,1.0,111392.46,0.0
CUST0023,Female,120.0,10.0,192527.01,3.0,1.0,0.0,59114.18,1.0
CUST0024,Female,34.0,1.0,195346.38,2.0,0.0,0.0,64859.26,0.0
CUST0025,Female,19.0,5.0,98401.1,2.0,1.0,0.0,107377.62,0.0
CUST0026,Male,34.0,6.0,74188.84,2.0,1.0,1.0,89650.71,1.0
CUST0027,Male,50.0,9.0,64835.23,4.0,0.0,0.0,96816.08,0.0
CUST0028,Female,36.0,10.0,0.0,4.0,1.0,0.0,42667.64,1.0
CUST0029,Male,56.0,2.0,0.0,4.0,0.0,0.0,47179.31,1.0
CUST0030,Male,59.0,3.0,46481.45,2.0,1.0,0.0,87162.67,1.0
CUST0031,Female,18.0,5.0,0.0,3.0,0.0,0.0,65397.24,0.0
CUST0032,Male,20.0,4.0,177530.2,1.0,1.0,1.0,30938.2,1.0
CUST0033,Female,55.0,8.0,0.0,10.0,1.0,0.0,106255.23,1.0
CUST0034,Female,63.0,2.0,0.0,4.0,0.0,0.0,42870.28,1.0
CUST0035,Female,31.0,5.0,36585.72,4.0,1.0,0.0,113722.19,1.0
CUST0036,Male,65.0,3.0,127630.19,2.0,1.0,1.0,147256.07,0.0
CUST0037,Female,25.0,2.0,0.0,4.0,0.0,1.0,132341.78,0.0
CUST0038,Male,65.0,3.0,114828.84,1.0,1.0,0.0,149291.57,1.0
CUST0039,Female,63.0,5.0,176815.31,1.0,0.0,1.0,62997.54,0.0
CUST0040,Male,48.0,3.0,196085.99,3.0,0.0,0.0,44818.43,1.0
CUST0041,Female,20.0,2.0,0.0,2.0,1.0,0.0,94107.95,1.0
CUST0042,Female,49.0,6.0,0.0,3.0,1.0,1.0,61931.6,0.0
CUST0043,,26.0,6.0,0.0,2.0,0.0,1.0,125314.74,0.0
CUST0044,Male,30.0,10.0,2031.79,1.0,1.0,0.0,29222.32,1.0
CUST0045,Male,31.0,3.0,68261.04,2.0,1.0,1.0,95176.42,0.0
CUST0046,Male,42.0,10.0,0.0,2.0,1.0,1.0,-50000.0,1.0
CUST0047,Female,23.0,6.0,0.0,1.0,1.0,0.0,55300.58,1.0
CUST0048,Male,56.0,4.0,168562.59,4.0,1.0,0.0,110936.59,1.0
CUST0049,Male,33.0,2.0,103743.77,3.0,0.0,1.0,55208.19,0.0
CUST0050,Male,43.0,5.0,37682.4,3.0,0.0,0.0,109504.99,1.0
CUST0051,Female,18.0,2.0,48717.68,4.0,0.0,1.0,141499.82,0.0
CUST0052,Female,56.0,5.0,0.0,3.0,1.0,1.0,66276.45,0.0
CUST0053,Female,46.0,5.0,19737.24,2.0,1.0,1.0,42792.94,1.0
CUST0054,Female,43.0,5.0,0.0,2.0,1.0,0.0,71805.62,0.0
CUST0055,Male,22.0,4.0,0.0,2.0,1.0,0.0,85407.71,0.0
CUST0056,Female,22.0,4.0,123554.38,3.0,1.0,0.0,132735.86,0.0
CUST0057,Female,37.0,8.0,0.0,4.0,0.0,0.0,125456.54,0.0
CUST0058,Male,29.0,3.0,164264.94,2.0,0.0,1.0,55614.95,0.0
CUST0059,Female,63.0,2.0,8753.66,3.0,0.0,0.0,105243.94,1.0
CUST0060,Male,27.0,10.0,0.0,1.0,0.0,1.0,110075.75,1.0
CUST0061,Male,28.0,8.0,0.0,1.0,0.0,1.0,43067.14,0.0
CUST0062,Male,52.0,1.0,146597.9,2.0,0.0,0.0,95470.72,0.0
CUST0063,Male,49.0,5.0,0.0,1.0,0.0,0.0,50970.7,1.0
CUST0064,Female,66.0,4.0,165465.04,1.0,0.0,0.0,70596.22,1.0
CUST0065,Female,58.0,3.0,0.0,4.0,1.0,0.0,143578.93,1.0
CUST0066,Female,64.0,5.0,19249.13,1.0,1.0,0.0,47654.63,0.0
CUST0067,Male,33.0,9.0,0.0,2.0,1.0,0.0,149471.06,1.0
CUST0068,Female,52.0,7.0,0.0,2.0,0.0,1.0,109443.9,0.0
CUST0069,Male,34.0,6.0,0.0,4.0,1.0,0.0,126841.81,1.0
CUST0070,Male,22.0,5.0,47412.39,4.0,0.0,0.0,134446.8,1.0
CUST0071,Male,24.0,9.0,118785.86,2.0,1.0,0.0,82616.71,1.0
CUST0072,Female,56.0,10.0,0.0,2.0,0.0,0.0,21475.97,1.0
CUST0073,Female,37.0,8.0,0.0,3.0,0.0,0.0,95837.94,0.0
